id,plate,brand,type,model,year,color,status
1,ΙΚΥ1234,Toyota,Corolla,Sedan,2019,Ασημί,RENTED
2,ΝΒΡ5678,Honda,Civic,Hatchback,2020,Μπλε,RENTED
3,ΡΤΛ9012,Ford,Focus,SUV,2021,Μαύρο,RENTED
4,ΧΖΑ3456,Volkswagen,Passat,Sedan,2018,Λευκό,RENTED
5,ΕΜΚ7890,Nissan,Qashqai,Crossover,2022,Κόκκινο,RENTED
6,ΑΘΕ4567,BMW,X3,SUV,2020,Γκρι,RENTED
7,ΚΟΠ1122,Peugeot,308,Hatchback,2019,Μπλε,RENTED
8,ΜΝΔ3344,Mercedes,C-Class,Sedan,2021,Μαύρο,RENTED
9,ΠΛΩ5566,Hyundai,Tucson,SUV,2022,Λευκό,RENTED
10,ΖΗΞ7788,Kia,Sportage,Crossover,2023,Ασημί,RENTED
11,ΘΡΕ8899,Renault,Megane,Hatchback,2018,Κόκκινο,RENTED
12,ΣΔΦ2233,Skoda,Kodiaq,SUV,2021,Γκρι,RENTED
13,ΑΒΓ3344,Fiat,Punto,Compact,2017,Μπλε,RENTED
14,ΔΕΖ4455,Audi,A4,Sedan,2022,Μαύρο,RENTED
15,ΗΘΙ5566,Opel,Astra,Hatchback,2020,Ασημί,RENTED
16,ΚΛΜ6677,Seat,Ateca,SUV,2021,Πράσινο,RENTED
17,ΝΞΟ7788,Volvo,S60,Sedan,2019,Λευκό,RENTED
18,ΠΡΣ8899,Mazda,CX-5,Crossover,2022,Κόκκινο,RENTED
19,ΤΥΦ9900,Subaru,Forester,SUV,2023,Γκρι,RENTED
20,ΧΨΩ1122,Mini,Cooper,Hatchback,2018,Κίτρινο,RENTED
21,ΑΑΑ1234,Toyota,Yaris,Hatchback,2020,Λευκό,RENTED
22,ΒΒΒ2345,Ford,Mondeo,Sedan,2019,Μπλε,RENTED
23,ΓΓΓ3456,Peugeot,3008,SUV,2022,Μαύρο,RENTED
24,ΔΔΔ4567,Volkswagen,Golf,Hatchback,2021,Κόκκινο,RENTED
25,ΕΕΕ5678,Hyundai,Elantra,Sedan,2020,Γκρι,RENTED
26,ΖΖΖ6789,BMW,Series 2,Coupe,2023,Ασημί,RENTED
27,ΗΗΗ7890,Audi,Q5,SUV,2021,Λευκό,RENTED
28,ΘΘΘ8901,Kia,Rio,Hatchback,2018,Κόκκινο,RENTED
29,ΙΙΙ9012,Mercedes,GLA,SUV,2022,Μπλε,RENTED
30,ΚΚΚ0123,Nissan,Altima,Sedan,2019,Γκρι,RENTED
31,ΛΛΛ1234,Renault,Kadjar,SUV,2021,Μαύρο,RENTED
32,ΜΜΜ2345,Skoda,Fabia,Hatchback,2018,Λευκό,RENTED
33,ΝΝΝ3456,Opel,Insignia,Sedan,2020,Ασημί,RENTED
34,ΞΞΞ4567,Honda,HR-V,Crossover,2022,Πράσινο,RENTED
35,ΟΟΟ5678,Ford,Fiesta,Hatchback,2017,Μπλε,RENTED
36,ΠΠΠ6789,Volkswagen,T-Roc,SUV,2021,Κόκκινο,RENTED
37,ΡΡΡ7890,Seat,Leon,Sedan,2020,Μαύρο,RENTED
38,ΣΣΣ8901,Hyundai,Kona,Crossover,2023,Λευκό,RENTED
39,ΤΤΤ9012,Peugeot,5008,SUV,2022,Ασημί,RENTED
40,ΥΥΥ0123,Volvo,XC40,Crossover,2021,Μπλε,RENTED
41,ΦΦΦ1234,Toyota,RAV4,SUV,2022,Κόκκινο,RENTED
42,ΧΧΧ2345,Mercedes,E-Class,Sedan,2021,Μαύρο,RENTED
43,ΨΨΨ3456,Kia,Ceed,Hatchback,2019,Πράσινο,RENTED
44,ΩΩΩ4567,Renault,Talisman,Sedan,2020,Λευκό,RENTED
45,ΑΒΓ5678,Skoda,Karoq,SUV,2023,Γκρι,RENTED
46,ΒΓΔ6789,Opel,Corsa,Hatchback,2018,Μπλε,RENTED
47,ΓΔΕ7890,BMW,Series 3,Sedan,2022,Ασημί,RENTED
48,ΔΕΖ8901,Ford,Kuga,SUV,2021,Μαύρο,RENTED
49,ΕΖΗ9012,Peugeot,2008,Crossover,2023,Κόκκινο,RENTED
50,ΖΗΘ0123,Audi,A3,Hatchback,2020,Λευκό,RENTED
